Event,Start Time,End Time,Duration (min:sec),Device 1,Device 2,Distance,Channel
1,360,361.75620848097367,1.7562084809736431,D93,D48,121.89,C1
2,360,364.3022838618206,4.302283861820601,D54,D16,119.26,C2
3,360,361.02417570674976,1.0241757067497785,D48,D93,121.89,C3
4,360,360.88558887694853,0.8855888769485536,D34,D33,155.98,C4
5,360,363.0166062523984,3.016606252398376,D9,D92,147.34,C5
6,360,360.84635568934476,0.8463556893447676,D53,D35,157.23,C6
7,360,362.24034474516327,2.2403447451632825,D9,D19,155.13,C7
8,361,361.2706047156214,0.27060471562138527,D38,D68,125.91,C8
9,363,363.50429448855834,0.5042944885583416,D31,D72,123.58,C9
10,363,363.1636749448569,0.1636749448568693,D89,D94,58.4,C10
11,363,363.1636749448569,2.576086663240345,D45,D8,12.62
12,363,368.77141336368703,5.7714133636870555,D91,D55,143.7,C11
13,363,364.1095072102082,1.1095072102082346,D93,D10,107.84,C12
14,364,364.93573785145117,0.9357378514511526,D97,D94,58.1,C13
15,364,364.8213008142896,0.8213008142896049,D80,D37,93.18,C14
16,364,364.85997481141834,0.8599748114183319,D53,D15,153.81,C6
17,364,370.4930536900141,6.493053690014104,D38,D41,34.44,C4
18,364,364.71118388214694,0.7111838821469245,D73,D70,149.35,C3
19,364,366.0356574443517,2.0356574443517044,D10,D35,90.06,C8
20,364,364.5918151766598,0.5918151766597858,D87,D2,35.97,C1
21,364,364.36669170688947,0.36669170688947245,D72,D50,101.09,C7
22,364,368.25544145444985,4.255441454449877,D81,D30,79.08,C5
23,364,366.9217620259108,2.921762025910808,D28,D44,56.12,C10
24,364,364.43097721571377,0.43097721571379405,D59,D52,109.22,C9
25,364,364.43097721571377,0.9551169540151438,D82,D53,21.84
26,364.1095072102082,366.8545579745279,2.74505076431965,D23,D56,165.36,C12
27,364.3022838618206,365.9793091560219,1.6770252942012684,D100,D74,171.55,C2
28,364.36669170688947,364.8774886243325,0.510796917443003,D12,D5,189.99,C7
29,364.43097721571377,364.9765874851403,0.5456102694265373,D77,D12,38.39,C9
30,364.5918151766598,366.22084655543364,1.6290313787738613,D77,D16,155.78,C1
31,364.5918151766598,366.22084655543364,0.9671161797856633,D46,D1,19.65
32,366,367.71340618532923,1.7134061853292557,D57,D15,118.79,C3
33,366,366.0032153822957,0.003215382295689952,D26,D43,81.04,C14
34,366,366.68305649376396,0.6830564937639629,D7,D23,73.53,C6
35,366,367.81841071945155,1.8184107194515235,D80,D7,63.21,C7
36,366,366.95937120958104,0.9593712095810505,D69,D40,120.9,C13
37,366,368.4247982527881,2.424798252788075,D74,D79,123.42,C9
38,366,368.4247982527881,0.5292652874660867,D71,D97,7.97
39,367,367.33166969553565,0.33166969553562725,D66,D73,123.87,C2
40,368,369.81941254260335,1.8194125426033714,D85,D67,56.31,C14
41,368,368.2078562769592,0.20785627695918926,D26,D32,149.75,C8
42,368,371.0579196133211,3.057919613321089,D31,D95,61.31,C1
43,369,369.1509627898109,0.1509627898108917,D85,D77,161.9,C6
44,369,372.9743605606423,3.974360560642311,D99,D71,149.05,C12
45,369,374.8203994856246,5.820399485624601,D42,D15,51.95,C10
46,369,370.8085324296125,1.8085324296124943,D89,D21,87.35,C13
47,369,371.13190505057963,2.1319050505796064,D76,D16,75.34,C2
48,370,372.23230232014396,2.2323023201439516,D34,D58,123.79,C3
49,370,370.4027655419391,0.40276554193909103,D93,D39,100.77,C7
50,370,370.54312149715577,0.5431214971557418,D67,D12,170.18,C8
51,370,374.8951297261059,4.895129726105899,D50,D43,104.41,C5
52,370,370.3651497152879,0.3651497152878618,D44,D53,67.46,C9
53,370,371.643785469569,1.6437854695689988,D20,D2,56.27,C11
54,370,372.2773313309333,2.2773313309332774,D34,D42,121.16,C6
55,370,371.5314638650176,1.531463865017612,D65,D6,47.06,C14
56,370.3651497152879,372.3090816329093,1.9439319176214176,D80,D97,102.79,C9
57,370.4027655419391,370.82735642876685,0.42459088682775326,D21,D25,86.85,C7
58,370.4930536900141,372.623134670729,2.130080980714849,D82,D39,177.26,C4
59,370.54312149715577,371.51424018089773,0.9711186837419541,D31,D51,179.71,C8
60,370.8085324296125,373.95917015809283,3.150637728480344,D50,D39,39.98,C13
61,370.82735642876685,371.89759843523564,1.0702420064687854,D60,D97,122.47,C7
62,371.0579196133211,373.3564244810033,2.2985048676821958,D7,D20,97.05,C1
63,371.13190505057963,372.04361169318986,0.911706642610213,D27,D76,97.47,C2
64,371.13190505057963,372.04361169318986,1.9535151553849106,D3,D56,18.0
65,371.51424018089773,376.72135823940033,5.207118058502618,D26,D88,44.28,C8
66,372,372.2696867309736,0.2696867309735931,D69,D46,210.02,C14
67,372,374.4099207648595,2.4099207648595296,D89,D21,87.35,C11
68,372,376.327685096891,4.327685096891009,D49,D17,53.68,C7
69,372.04361169318986,372.6150444244706,0.5714327312807569,D35,D86,39.59,C2
70,373,373.13968318356035,0.13968318356037007,D27,D23,127.95,C3
71,373,373.9744702999728,0.9744702999727591,D50,D5,149.49,C14
72,373,373.49661214601275,0.4966121460127637,D47,D55,178.29,C6
73,373,373.2320356509789,0.2320356509789135,D66,D90,138.1,C9
74,373,373.114914782792,0.11491478279200641,D75,D79,149.0,C2
75,373,373.28940315783626,0.28940315783623355,D22,D77,66.34,C4
76,373,373.6371964792217,0.6371964792216912,D23,D7,73.53,C12
77,375,375.72154280536233,0.7215428053623527,D91,D57,183.93,C2
78,375,375.63689242421026,0.6368924242102647,D85,D22,131.22,C3
79,376,376.1572782163719,0.15727821637187064,D54,D15,150.52,C9
80,376,378.13426958918706,2.1342695891870718,D13,D28,144.77,C4
81,376,378.77544556044273,2.7754455604427464,D18,D89,59.07,C1
82,376,376.9100745135726,0.9100745135726184,D3,D64,98.17,C6
83,376,378.0718065464536,2.071806546453625,D48,D46,117.41,C12
84,376,378.1928869262341,2.192886926234088,D75,D78,93.43,C13
85,376,377.56405588599995,1.564055885999943,D78,D3,61.27,C14
86,377,378.1180300680742,1.1180300680741577,D62,D15,68.02,C11
87,377,379.3769114930863,2.3769114930863204,D8,D7,129.26,C10
88,377,377.46092995338824,0.4609299533882444,D67,D19,59.37,C5
89,377,379.0400622789853,2.0400622789853133,D42,D60,33.44,C3
90,377,377.41851355877134,0.4185135587713594,D61,D70,118.89,C2
91,377,378.21611445640326,1.2161144564032804,D38,D74,193.91,C9
92,377,383.0460967204991,6.046096720499101,D87,D98,132.12,C7
93,377,379.9020954003614,2.902095400361438,D84,D2,96.69,C8
